link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20266220,20266220,Diepenbeek,3590,399000.0,HOUSE,HOUSE,3,216.0,,0,,,3.0,0,832.0,,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beringen/3581/20392275,20392275,Beringen,3581,467000.0,HOUSE,HOUSE,2,217.0,,0,,,4.0,0,1090.0,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gingelom/3891/11432173,11432173,Gingelom,3891,352000.0,HOUSE,HOUSE,3,176.0,,0,,665.0,4.0,0,825.0,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/buvingen/3891/10129606,10129606,BUVINGEN,3891,255000.0,HOUSE,HOUSE,4,292.0,,0,,,2.0,0,652.0,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20378345,20378345,Diepenbeek,3590,325000.0,HOUSE,HOUSE,3,209.0,0.0,0,,,4.0,1,2657.0,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gingelom/3891/20189671,20189671,GINGELOM,3891,439000.0,HOUSE,HOUSE,3,242.0,,0,,,4.0,0,236.0,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/la-bruyere/5080/20336558,20336558,La Bruyère,5080,369900.0,HOUSE,HOUSE,3,154.0,,0,,,3.0,1,573.0,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/la-bruyere/5080/11237681,11237681,La Bruyère,5080,695000.0,HOUSE,HOUSE,5,285.0,,0,,,3.0,1,2913.0,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/duplex/for-sale/diepenbeek/3590/20347902,20347902,DIEPENBEEK,3590,279725.0,APARTMENT,DUPLEX,2,95.0,,0,10.0,,2.0,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/la-bruyere/5080/20230981,20230981,La Bruyère,5080,599000.0,HOUSE,HOUSE,5,273.0,0.0,0,,,4.0,1,1670.0,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gingelom/3891/20109704,20109704,GINGELOM,3891,335000.0,HOUSE,HOUSE,3,354.0,,0,,,4.0,0,1200.0,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/heer/5543/10639346,10639346,Heer,5543,120000.0,HOUSE,HOUSE,2,,,0,,,2.0,0,0.0,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/emines/5080/20183321,20183321,Émines,5080,309000.0,HOUSE,HOUSE,3,131.0,0.0,0,25.0,157.0,3.0,1,275.0,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/hastiere/5543/20283410,20283410,Hastière,5543,285000.0,HOUSE,HOUSE,5,175.0,0.0,0,20.0,650.0,4.0,1,870.0,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beverlo/3581/20337228,20337228,BEVERLO,3581,599000.0,HOUSE,HOUSE,4,251.0,,0,,,4.0,0,1009.0,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beverlo/3581/11335370,11335370,Beverlo,3581,425000.0,HOUSE,HOUSE,4,168.0,0.0,0,,953.0,4.0,1,1185.0,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/borlo/3891/20394131,20394131,Borlo,3891,375000.0,HOUSE,HOUSE,0,157.0,,0,,,0.0,0,255.0,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/la-bruyere/5080/20242227,20242227,La Bruyère,5080,385000.0,HOUSE,HOUSE,3,145.0,0.0,0,20.0,1400.0,4.0,1,1666.0,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/20323462,20323462,DIEPENBEEK,3590,225000.0,APARTMENT,APARTMENT,2,90.0,,0,,,2.0,0,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beringen/3581/20376880,20376880,BERINGEN,3581,269000.0,HOUSE,HOUSE,3,169.0,,0,,,3.0,0,801.0,HYPER_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/beringen/3581/20082942,20082942,Beringen,3581,1075000.0,HOUSE,VILLA,6,424.0,,0,,,4.0,0,1248.0,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/penthouse/for-sale/kinrooi/3640/20343715,20343715,KINROOI,3640,325000.0,APARTMENT,PENTHOUSE,2,148.0,,0,16.0,,0.0,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/chalet/for-sale/kinrooi/3640/20041210,20041210,Kinrooi,3640,66950.0,HOUSE,CHALET,3,,,0,18.0,,4.0,1,180.0,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/la-bruyere/5080/20143404,20143404,La Bruyère,5080,349000.0,HOUSE,HOUSE,3,198.0,,0,,708.0,0.0,0,708.0,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beringen/3581/20252331,20252331,BERINGEN,3581,235000.0,HOUSE,HOUSE,2,120.0,,0,,,4.0,0,0.0,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/duplex/for-sale/diepenbeek/3590/20347903,20347903,DIEPENBEEK,3590,287612.0,APARTMENT,DUPLEX,2,97.0,,0,10.0,,2.0,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gingelom/3891/20355753,20355753,Gingelom,3891,349000.0,HOUSE,HOUSE,3,263.0,,0,,,4.0,0,1728.0,,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/paal/3583/20356422,20356422,PAAL,3583,301000.0,APARTMENT,APARTMENT,2,92.0,,0,25.0,,3.0,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20323477,20323477,DIEPENBEEK,3590,399000.0,HOUSE,HOUSE,5,331.0,,0,,,4.0,0,1047.0,INSTALLED,GOOD,FOR_SALE
