,property_id,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building
1,20298262,3980,545372,HOUSE,HOUSE,3,232.0,0.0,0,30.0,1.0,3.0,1,1001.0,HYPER_EQUIPPED,AS_NEW
2,20167635,5543,119990,HOUSE,HOUSE,2,107.0,0.0,0,14.0,125.0,3.0,0,337.0,INSTALLED,TO_BE_DONE_UP
4,20363563,3980,325000,HOUSE,HOUSE,3,146.0,0.0,0,20.0,0.0,4.0,1,631.0,UNKNOWN,UNKNOWN
5,10129606,3891,255000,HOUSE,HOUSE,4,292.0,0.0,0,31.0,0.0,2.0,0,652.0,SEMI_EQUIPPED,TO_BE_DONE_UP
7,20264532,3980,289000,APARTMENT,APARTMENT,2,115.0,0.0,0,23.0,72.0,2.0,1,0.0,USA_INSTALLED,AS_NEW
8,20298249,3980,596500,HOUSE,HOUSE,3,322.0,0.0,0,40.0,1.0,3.0,1,1099.0,HYPER_EQUIPPED,AS_NEW
9,20358809,3980,545000,HOUSE,VILLA,4,328.0,0.0,0,40.0,0.0,4.0,0,835.0,INSTALLED,GOOD
10,20343721,3640,284000,APARTMENT,GROUND_FLOOR,2,116.0,0.0,0,14.0,15.0,0.0,0,0.0,INSTALLED,UNKNOWN
11,20355753,3891,349000,HOUSE,HOUSE,3,263.0,0.0,0,30.0,0.0,4.0,0,1728.0,UNKNOWN,TO_BE_DONE_UP
12,10639346,5543,120000,HOUSE,HOUSE,2,100.0,0.0,0,13.0,0.0,2.0,0,0.0,UNKNOWN,UNKNOWN
13,20392275,3581,467000,HOUSE,HOUSE,2,217.0,0.0,0,28.0,0.0,4.0,0,1090.0,UNKNOWN,GOOD
14,20294913,3980,375000,HOUSE,HOUSE,3,194.0,0.0,0,88.0,0.0,4.0,1,889.0,HYPER_EQUIPPED,AS_NEW
15,20143404,5080,349000,HOUSE,HOUSE,3,198.0,0.0,0,25.0,708.0,0.0,0,708.0,UNKNOWN,GOOD
16,20347903,3590,287612,APARTMENT,DUPLEX,2,97.0,0.0,0,10.0,0.0,2.0,0,0.0,INSTALLED,UNKNOWN
17,20376880,3581,269000,HOUSE,HOUSE,3,169.0,0.0,0,21.0,0.0,3.0,0,801.0,HYPER_EQUIPPED,TO_RENOVATE
18,20183321,5080,309000,HOUSE,HOUSE,3,131.0,0.0,0,25.0,157.0,3.0,1,275.0,INSTALLED,GOOD
19,20343715,3640,325000,APARTMENT,PENTHOUSE,2,148.0,0.0,0,16.0,0.0,0.0,0,0.0,INSTALLED,UNKNOWN
20,11432173,3891,352000,HOUSE,HOUSE,3,176.0,0.0,0,22.0,665.0,4.0,0,825.0,UNKNOWN,AS_NEW
22,20321131,3590,275000,APARTMENT,APARTMENT,2,85.0,0.0,0,11.0,0.0,2.0,1,0.0,INSTALLED,AS_NEW
23,20336558,5080,369900,HOUSE,HOUSE,3,154.0,0.0,0,20.0,0.0,3.0,1,573.0,INSTALLED,AS_NEW
24,20361199,3583,469000,HOUSE,HOUSE,4,212.0,0.0,0,27.0,0.0,0.0,0,435.0,INSTALLED,GOOD
25,20323510,3590,524000,HOUSE,HOUSE,3,210.0,0.0,0,26.0,0.0,4.0,0,978.0,INSTALLED,GOOD
26,20323462,3590,225000,APARTMENT,APARTMENT,2,90.0,0.0,0,12.0,0.0,2.0,0,0.0,INSTALLED,GOOD
27,10673188,5543,175000,HOUSE,APARTMENT_BLOCK,5,270.0,0.0,0,20.0,0.0,3.0,1,0.0,NOT_INSTALLED,TO_RENOVATE
28,20252331,3581,235000,HOUSE,HOUSE,2,120.0,0.0,0,18.0,0.0,4.0,0,0.0,SEMI_EQUIPPED,TO_RENOVATE
31,10884173,8553,372000,HOUSE,HOUSE,3,125.0,0.0,0,20.0,0.0,3.0,0,649.0,UNKNOWN,UNKNOWN
32,11122343,8553,325000,HOUSE,HOUSE,4,139.0,0.0,0,20.0,0.0,4.0,0,1598.0,UNKNOWN,TO_RENOVATE
33,20147193,3640,450000,APARTMENT,PENTHOUSE,2,145.0,0.0,0,73.0,0.0,4.0,0,0.0,UNKNOWN,GOOD
34,20337228,3581,599000,HOUSE,HOUSE,4,251.0,0.0,0,30.0,0.0,4.0,0,1009.0,INSTALLED,GOOD
35,20347902,3590,279725,APARTMENT,DUPLEX,2,95.0,0.0,0,10.0,0.0,2.0,0,0.0,INSTALLED,UNKNOWN
36,20189671,3891,439000,HOUSE,HOUSE,3,242.0,0.0,0,30.0,0.0,4.0,0,236.0,INSTALLED,JUST_RENOVATED
37,11335370,3581,425000,HOUSE,HOUSE,4,168.0,0.0,0,22.0,953.0,4.0,1,1185.0,UNKNOWN,GOOD
38,10758491,5080,299000,HOUSE,HOUSE,4,241.0,0.0,0,30.0,0.0,0.0,0,485.0,UNKNOWN,GOOD
39,20230981,5080,599000,HOUSE,HOUSE,5,273.0,0.0,0,30.0,0.0,4.0,1,1670.0,INSTALLED,AS_NEW
40,20242227,5080,385000,HOUSE,HOUSE,3,145.0,0.0,0,20.0,1400.0,4.0,1,1666.0,HYPER_EQUIPPED,GOOD
41,20363885,3583,346866,HOUSE,HOUSE,3,143.0,0.0,0,20.0,0.0,4.0,0,434.0,INSTALLED,UNKNOWN
42,20283410,5543,285000,HOUSE,HOUSE,5,175.0,0.0,0,20.0,650.0,4.0,1,870.0,INSTALLED,GOOD
43,11084451,3581,255000,HOUSE,HOUSE,3,200.0,0.0,0,25.0,0.0,0.0,0,341.0,UNKNOWN,GOOD
44,20097163,3581,334144,HOUSE,HOUSE,3,140.0,0.0,0,20.0,0.0,3.0,1,535.0,UNKNOWN,UNKNOWN
45,20149888,5080,1599999,HOUSE,CASTLE,41,760.0,0.0,0,60.0,0.0,4.0,0,0.0,UNKNOWN,UNKNOWN
47,20347412,3583,408318,HOUSE,HOUSE,3,198.0,0.0,0,25.0,0.0,3.0,0,305.0,INSTALLED,UNKNOWN
48,20240894,3640,440000,HOUSE,HOUSE,3,168.0,0.0,0,22.0,0.0,3.0,0,296.0,INSTALLED,UNKNOWN
49,20343717,3640,263000,APARTMENT,GROUND_FLOOR,2,106.0,0.0,0,24.0,42.0,0.0,0,0.0,INSTALLED,UNKNOWN
50,20356422,3583,301000,APARTMENT,APARTMENT,2,92.0,0.0,0,25.0,0.0,3.0,0,0.0,INSTALLED,UNKNOWN
51,20323497,3980,289000,HOUSE,HOUSE,3,162.0,0.0,0,22.0,0.0,4.0,0,1214.0,SEMI_EQUIPPED,TO_RENOVATE
52,20101593,5080,365000,HOUSE,HOUSE,4,165.0,0.0,1,22.0,716.0,4.0,0,716.0,SEMI_EQUIPPED,TO_BE_DONE_UP
53,20320456,3980,249000,HOUSE,HOUSE,3,123.0,0.0,0,19.0,0.0,3.0,0,1520.0,SEMI_EQUIPPED,TO_RENOVATE
54,20369758,3590,398000,HOUSE,HOUSE,3,280.0,0.0,0,28.0,0.0,0.0,0,1737.0,INSTALLED,UNKNOWN
55,20041210,3640,66950,HOUSE,CHALET,3,157.0,0.0,0,18.0,0.0,4.0,1,180.0,UNKNOWN,UNKNOWN
57,20179195,3581,225000,HOUSE,HOUSE,3,140.0,0.0,0,20.0,104.0,3.0,0,322.0,UNKNOWN,TO_RENOVATE
58,20347414,3583,365814,HOUSE,HOUSE,3,160.0,0.0,0,22.0,0.0,3.0,0,310.0,INSTALLED,UNKNOWN
59,20350515,3583,379000,HOUSE,HOUSE,4,173.0,0.0,0,22.0,760.0,4.0,0,1290.0,UNKNOWN,AS_NEW
60,20323477,3590,399000,HOUSE,HOUSE,5,331.0,0.0,0,40.0,0.0,4.0,0,1047.0,INSTALLED,GOOD
61,20394131,3891,375000,HOUSE,HOUSE,0,157.0,0.0,0,21.0,0.0,0.0,0,255.0,UNKNOWN,GOOD
62,20397631,3581,195000,APARTMENT,APARTMENT,2,100.0,0.0,0,13.0,0.0,3.0,0,0.0,INSTALLED,GOOD
63,20266220,3590,399000,HOUSE,HOUSE,3,216.0,0.0,0,27.0,0.0,3.0,0,832.0,UNKNOWN,JUST_RENOVATED
64,20317959,3583,409000,HOUSE,HOUSE,4,284.0,0.0,1,5.0,681.0,4.0,0,805.0,UNKNOWN,AS_NEW
65,20343726,3640,267000,APARTMENT,APARTMENT,2,109.0,0.0,0,10.0,0.0,0.0,0,0.0,INSTALLED,UNKNOWN
66,20356424,3583,297000,APARTMENT,APARTMENT,2,109.0,0.0,0,8.0,0.0,3.0,0,0.0,INSTALLED,UNKNOWN
67,20127889,3583,333712,HOUSE,HOUSE,3,150.0,0.0,0,20.0,1.0,3.0,1,419.0,UNKNOWN,UNKNOWN
68,10884175,8553,327000,HOUSE,HOUSE,3,125.0,0.0,0,20.0,0.0,3.0,0,456.0,UNKNOWN,UNKNOWN
69,11151257,3581,230000,HOUSE,HOUSE,5,196.0,0.0,0,25.0,0.0,3.0,0,206.0,SEMI_EQUIPPED,TO_BE_DONE_UP
70,11484937,8553,449000,HOUSE,HOUSE,3,209.0,0.0,0,25.0,0.0,4.0,1,1149.0,UNKNOWN,UNKNOWN
72,20393338,8553,372000,HOUSE,HOUSE,3,157.0,0.0,0,21.0,0.0,3.0,1,647.0,HYPER_EQUIPPED,AS_NEW
74,20347900,3590,464260,APARTMENT,APARTMENT,3,157.0,0.0,0,20.0,0.0,2.0,0,0.0,INSTALLED,UNKNOWN
75,20184269,8553,695000,HOUSE,HOUSE,4,205.0,0.0,0,25.0,0.0,4.0,1,1178.0,INSTALLED,AS_NEW
76,20343719,3640,212000,APARTMENT,APARTMENT,1,84.0,0.0,0,11.0,0.0,0.0,0,0.0,INSTALLED,UNKNOWN
77,20359562,8553,235000,HOUSE,HOUSE,3,132.0,0.0,0,40.0,125.0,3.0,1,233.0,INSTALLED,GOOD
78,20347413,3583,412638,HOUSE,HOUSE,3,198.0,0.0,0,25.0,0.0,3.0,0,328.0,INSTALLED,UNKNOWN
80,20390356,8553,245000,HOUSE,HOUSE,5,225.0,0.0,0,28.0,156.0,2.0,0,316.0,UNKNOWN,GOOD
81,20309047,6870,195000,HOUSE,HOUSE,3,193.0,0.0,0,25.0,0.0,2.0,1,250.0,UNKNOWN,UNKNOWN
82,20378925,1460,445000,HOUSE,HOUSE,3,178.0,0.0,0,24.0,0.0,2.0,1,305.0,UNKNOWN,GOOD
84,20379188,1460,445000,HOUSE,HOUSE,3,142.0,0.0,0,20.0,0.0,4.0,1,378.0,UNKNOWN,GOOD
85,20378976,1460,470000,HOUSE,HOUSE,4,186.0,0.0,0,24.0,0.0,3.0,1,491.0,UNKNOWN,GOOD
86,20378926,1460,440000,HOUSE,HOUSE,3,130.0,0.0,0,20.0,0.0,3.0,1,405.0,UNKNOWN,GOOD
87,20360080,2640,159000,APARTMENT,APARTMENT,2,80.0,0.0,0,10.0,0.0,2.0,0,0.0,INSTALLED,TO_BE_DONE_UP
88,20360083,2640,235000,APARTMENT,APARTMENT,2,89.0,0.0,0,11.0,0.0,2.0,0,0.0,SEMI_EQUIPPED,GOOD
89,20397901,2845,239000,HOUSE,HOUSE,2,105.0,0.0,0,14.0,0.0,2.0,0,98.0,HYPER_EQUIPPED,UNKNOWN
90,20341708,6870,199000,HOUSE,TOWN_HOUSE,3,189.0,0.0,0,24.0,0.0,4.0,1,1545.0,NOT_INSTALLED,UNKNOWN
92,20213088,6870,99000,HOUSE,HOUSE,2,64.0,0.0,0,10.0,0.0,2.0,1,35.0,UNKNOWN,UNKNOWN
95,20363794,1460,498000,HOUSE,HOUSE,4,198.0,0.0,0,75.0,1112.0,3.0,1,1234.0,INSTALLED,GOOD
96,20125321,6870,299000,HOUSE,HOUSE,4,215.0,0.0,0,27.0,0.0,3.0,1,386.0,INSTALLED,GOOD
97,20359487,2640,247000,APARTMENT,APARTMENT,2,93.0,0.0,0,12.0,0.0,2.0,0,0.0,INSTALLED,GOOD
98,20379298,2640,369000,APARTMENT,APARTMENT,2,122.0,0.0,0,6.0,35.0,0.0,0,0.0,INSTALLED,JUST_RENOVATED
99,20384707,2640,299000,APARTMENT,GROUND_FLOOR,2,85.0,0.0,0,18.0,53.0,2.0,0,0.0,INSTALLED,GOOD
101,20360072,2640,179000,APARTMENT,APARTMENT,2,86.0,0.0,0,9.0,0.0,2.0,0,0.0,SEMI_EQUIPPED,GOOD
102,20393572,2640,259000,APARTMENT,APARTMENT,2,74.0,0.0,0,10.0,0.0,3.0,0,0.0,INSTALLED,GOOD
103,20380468,2845,325000,HOUSE,HOUSE,3,133.0,0.0,0,20.0,0.0,2.0,0,85.0,INSTALLED,GOOD
104,20375953,2640,279000,APARTMENT,APARTMENT,3,99.0,0.0,1,12.0,0.0,3.0,0,0.0,INSTALLED,GOOD
105,20391073,6870,130000,HOUSE,HOUSE,4,180.0,0.0,0,24.0,0.0,3.0,1,376.0,NOT_INSTALLED,TO_RENOVATE
106,20378981,1460,440000,HOUSE,HOUSE,3,130.0,0.0,0,20.0,0.0,3.0,1,409.0,UNKNOWN,GOOD
107,20344131,6870,185000,HOUSE,CHALET,2,66.0,0.0,0,10.0,0.0,4.0,1,1050.0,UNKNOWN,UNKNOWN
108,20264514,1401,399000,HOUSE,VILLA,4,170.0,0.0,0,50.0,907.0,4.0,1,1040.0,INSTALLED,TO_BE_DONE_UP
109,20378975,1460,445000,HOUSE,HOUSE,3,174.0,0.0,0,22.0,0.0,2.0,1,252.0,UNKNOWN,GOOD
111,20392236,2845,459000,HOUSE,HOUSE,4,244.0,0.0,1,14.0,60.0,2.0,1,95.0,HYPER_EQUIPPED,JUST_RENOVATED
112,20165538,6870,339000,HOUSE,HOUSE,4,198.0,0.0,0,45.0,0.0,3.0,1,1140.0,UNKNOWN,UNKNOWN
113,20360061,2640,234000,APARTMENT,APARTMENT,2,89.0,0.0,0,11.0,0.0,0.0,0,0.0,INSTALLED,GOOD
114,20072941,2845,245000,HOUSE,HOUSE,3,132.0,0.0,0,6.0,12.0,2.0,0,70.0,SEMI_EQUIPPED,TO_RENOVATE
115,20366359,2640,650000,HOUSE,APARTMENT_BLOCK,5,232.0,0.0,0,30.0,60.0,2.0,0,167.0,UNKNOWN,GOOD
116,20379191,1460,470000,HOUSE,HOUSE,4,186.0,0.0,0,24.0,0.0,3.0,1,491.0,UNKNOWN,GOOD
117,20387228,2640,630000,HOUSE,HOUSE,3,186.0,0.0,0,24.0,32.0,2.0,0,221.0,HYPER_EQUIPPED,JUST_RENOVATED
118,20159173,1401,319000,HOUSE,VILLA,3,150.0,0.0,0,20.0,1100.0,4.0,1,1266.0,SEMI_EQUIPPED,TO_BE_DONE_UP
119,20372132,2060,499000,HOUSE,MANSION,5,273.0,0.0,0,30.0,92.0,2.0,0,253.0,INSTALLED,GOOD
120,20380077,1401,250000,APARTMENT,APARTMENT,2,90.0,0.0,0,12.0,0.0,0.0,0,0.0,UNKNOWN,UNKNOWN
121,20378924,1460,430000,HOUSE,HOUSE,4,182.0,0.0,0,24.0,0.0,3.0,1,401.0,UNKNOWN,GOOD
122,20379189,1460,450000,HOUSE,HOUSE,3,174.0,0.0,0,22.0,0.0,2.0,1,275.0,UNKNOWN,GOOD
123,20393177,2845,374000,HOUSE,HOUSE,3,198.0,0.0,0,25.0,0.0,2.0,0,141.0,HYPER_EQUIPPED,UNKNOWN
124,20387347,2060,499000,HOUSE,MIXED_USE_BUILDING,5,273.0,0.0,0,30.0,92.0,2.0,0,253.0,INSTALLED,GOOD
125,20394157,2845,379000,HOUSE,HOUSE,3,165.0,0.0,0,22.0,0.0,2.0,0,179.0,HYPER_EQUIPPED,UNKNOWN
126,20397003,2547,385000,HOUSE,HOUSE,3,112.0,0.0,0,15.0,0.0,4.0,0,670.0,INSTALLED,GOOD
127,11444264,2310,379000,APARTMENT,DUPLEX,2,109.0,0.0,0,11.0,0.0,0.0,0,0.0,INSTALLED,AS_NEW
128,20388704,1401,560000,HOUSE,VILLA,4,255.0,0.0,1,30.0,0.0,4.0,0,1457.0,UNKNOWN,GOOD
129,11285146,7822,410054,HOUSE,HOUSE,3,187.0,0.0,0,24.0,0.0,4.0,0,1383.0,UNKNOWN,AS_NEW
130,20375128,2640,329000,HOUSE,HOUSE,2,171.0,0.0,0,4.0,76.0,0.0,0,200.0,NOT_INSTALLED,TO_RENOVATE
131,20306656,2845,305000,HOUSE,HOUSE,4,147.0,0.0,0,20.0,0.0,2.0,0,65.0,UNKNOWN,AS_NEW
132,11388049,7504,399809,HOUSE,HOUSE,3,189.0,0.0,0,24.0,0.0,4.0,0,1100.0,UNKNOWN,AS_NEW
133,20360084,2640,259000,APARTMENT,APARTMENT,2,115.0,0.0,0,16.0,0.0,2.0,0,0.0,INSTALLED,GOOD
