,link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale,postal_code_str,province
0,https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/20255241,20255241,Diepenbeek,3590,225000.0,APARTMENT,APARTMENT,2,90.0,,0,,,2.0,0,,INSTALLED,GOOD,FOR_SALE,3590,Limburg
1,https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20260495,20260495,Diepenbeek,3590,344000.0,HOUSE,HOUSE,3,167.0,0.0,0,,,2.0,1,228.0,HYPER_EQUIPPED,GOOD,FOR_SALE,3590,Limburg
2,https://www.immoweb.be/en/classified/house/for-sale/gingelom/3891/11432173,11432173,Gingelom,3891,352000.0,HOUSE,HOUSE,3,176.0,,0,0.0,665.0,4.0,0,825.0,,AS_NEW,FOR_SALE,3891,Limburg
3,https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20221018,20221018,Diepenbeek,3590,445000.0,HOUSE,HOUSE,3,145.0,,0,,,0.0,0,1207.0,INSTALLED,,FOR_SALE,3590,Limburg
4,https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20275042,20275042,Diepenbeek,3590,245000.0,HOUSE,HOUSE,3,170.0,,0,0.0,,4.0,0,282.0,,GOOD,FOR_SALE,3590,Limburg
5,https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20260497,20260497,Diepenbeek,3590,344000.0,HOUSE,HOUSE,3,167.0,0.0,0,,,2.0,1,228.0,HYPER_EQUIPPED,GOOD,FOR_SALE,3590,Limburg
6,https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/20220997,20220997,Diepenbeek,3590,299000.0,APARTMENT,APARTMENT,2,,,0,9.0,,0.0,0,,INSTALLED,GOOD,FOR_SALE,3590,Limburg
7,https://www.immoweb.be/en/classified/house/for-sale/mielen-boven-aalst/3891/11489697,11489697,Mielen-boven-aalst,3891,249500.0,HOUSE,HOUSE,3,140.0,,0,0.0,,3.0,0,714.0,,,FOR_SALE,3891,Limburg
8,https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20163603,20163603,Diepenbeek,3590,550000.0,HOUSE,HOUSE,4,242.0,0.0,0,,,4.0,1,919.0,,,FOR_SALE,3590,Limburg
9,https://www.immoweb.be/en/classified/house/for-sale/gingelom/3891/20109704,20109704,Gingelom,3891,335000.0,HOUSE,HOUSE,3,354.0,,0,0.0,,4.0,0,1200.0,,TO_RENOVATE,FOR_SALE,3891,Limburg
