,price
338,240000
3590,295000
8765,200000
3780,245000
5132,389000
6364,582800
11550,275000
5362,349001
2594,590000
11463,215000
2381,281916
11587,120000
5906,525000
7794,270000
300,169999
3647,199000
12721,325000
765,750000
3745,175000
9072,279000
6088,199000
6693,279000
2575,135000
5784,369000
7209,115000
12996,409000
3206,369000
6533,159000
5028,199000
10329,120000
5032,219000
5216,340000
11075,285000
1698,559700
7631,495000
7753,325000
1790,585000
10068,215000
11297,449000
1473,239000
12414,309900
9989,325000
7778,495000
3238,675000
3829,189000
3472,495000
3569,299000
12476,525000
8374,274000
7888,285000
9903,349000
7177,295000
6719,260000
298,335000
8176,455000
6494,285000
10354,170000
12591,385000
12967,239000
1709,495000
2356,122000
7530,210000
10561,199000
9946,119000
6870,395000
1599,227749
12955,224000
9125,245000
1952,325000
2710,379000
2901,285000
10114,635000
9487,485000
1842,395000
5721,145000
8654,515000
7188,80000
12757,170000
5496,354850
7350,145000
10604,361000
38,255000
9779,329000
2737,280250
1019,220000
3413,489900
10544,595000
5882,499000
3153,209000
8331,299000
8151,520000
5594,395000
1607,485000
7377,525000
2301,175000
3274,379000
4425,299000
11902,399000
6954,459985
11411,399000
2176,299000
10234,409000
9876,530000
505,324206
11306,295000
12473,299000
10039,349000
9898,159000
618,315000
10165,495000
9158,325000
9699,229000
11229,249000
7516,135000
11221,247500
12874,359000
2768,145000
12031,198500
3050,351000
43,263000
993,399000
12564,319900
7239,380000
5711,595000
12452,275000
3811,220000
9629,795000
6913,649000
805,245000
1833,195000
8171,395000
11703,265000
947,589000
10203,245000
10515,269000
9382,185000
1455,355000
5279,445000
4649,595000
3713,319000
570,105000
4247,289000
2471,329000
4389,269000
12232,189000
1817,170000
5353,699000
10582,250000
1079,105000
5556,359000
3430,398000
3595,295000
12119,310000
6586,283300
12028,239000
11924,539500
4464,259900
11384,269000
5924,235000
508,359000
10286,380000
10799,685000
6534,99000
11091,249000
12815,440000
12985,140000
2168,561640
10000,220000
2207,299000
7562,533093
1401,169000
8690,499000
8999,355000
10186,545000
11951,449000
12194,410500
1936,399000
9428,425000
