link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/house/for-sale/heer/5543/20167635,20167635,Heer,5543,119990,HOUSE,HOUSE,107,,0,null,125,3,0,337,INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/tessenderlo/3980/20180242,20180242,Tessenderlo,3980,399000,HOUSE,HOUSE,194,0,0,88,null,4,1,889,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/la-bruyere/5080/10758491,10758491,La Bruyère,5080,299000,HOUSE,HOUSE,241,,0,null,null,0,0,485,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/exceptional-property/for-sale/beringen/3581/11416974,11416974,Beringen,3581,495000,HOUSE,EXCEPTIONAL_PROPERTY,202,,1,62,2050,4,1,2300,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/town-house/for-sale/hastiere/5543/20225554,20225554,Hastière,5543,249000,HOUSE,TOWN_HOUSE,210,,1,67,1300,0,1,610,,TO_RESTORE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/tessenderlo/3980/20120344,20120344,Tessenderlo,3980,379064,APARTMENT,APARTMENT,104,,0,13,1,3,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/la-bruyere/5080/20204472,20204472,La Bruyère,5080,379000,HOUSE,HOUSE,173,,0,null,null,3,1,573,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/la-bruyere/5080/20143404,20143404,La Bruyère,5080,349000,HOUSE,HOUSE,198,,0,,708,0,0,708,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/tessenderlo/3980/11344916,11344916,Tessenderlo,3980,989000,HOUSE,VILLA,457,,0,null,null,4,1,1000,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/tessenderlo/3980/20120321,20120321,Tessenderlo,3980,545372,HOUSE,HOUSE,232,,0,null,1,3,1,1001,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/tessenderlo/3980/20233110,20233110,Tessenderlo,3980,596500,HOUSE,HOUSE,322,,0,null,1,3,1,1099,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/heer/5543/10639346,10639346,Heer,5543,135000,HOUSE,HOUSE,,,0,null,null,2,0,0,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/la-bruyere/5080/20230981,20230981,La Bruyère,5080,599000,HOUSE,HOUSE,273,0,0,,null,4,1,1670,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beringen/3581/11151257,11151257,BERINGEN,3581,230000,HOUSE,HOUSE,196,,0,,null,3,0,206,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/paal/3583/20178658,20178658,PAAL,3583,301000,APARTMENT,APARTMENT,92,,0,25,null,3,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gingelom/3891/20189671,20189671,GINGELOM,3891,439000,HOUSE,HOUSE,242,,0,null,null,4,0,236,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beringen/3581/20097163,20097163,Beringen,3581,334144,HOUSE,HOUSE,140,,0,null,null,3,1,535,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/heer/5543/11021533,11021533,Heer,5543,206974,HOUSE,HOUSE,125,,0,null,null,4,0,1125,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/buvingen/3891/11489407,11489407,Buvingen,3891,340000,HOUSE,HOUSE,295,,0,null,null,0,0,1122,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/country-cottage/for-sale/tessenderlo/3980/11287967,11287967,Tessenderlo,3980,1650000,HOUSE,COUNTRY_COTTAGE,,,0,null,null,4,1,0,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beringen/3581/20230588,20230588,Beringen,3581,275000,HOUSE,HOUSE,184,,0,null,800,4,0,1110,,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/tessenderlo/3980/20198566,20198566,Tessenderlo,3980,349375,HOUSE,HOUSE,,,0,null,null,0,0,245,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20163603,20163603,Diepenbeek,3590,550000,HOUSE,HOUSE,242,0,0,,null,4,1,919,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beverlo/3581/20124485,20124485,Beverlo,3581,369000,HOUSE,HOUSE,282,,0,28,267,2,0,515,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/tessenderlo/3980/10034341,10034341,Tessenderlo,3980,320000,HOUSE,HOUSE,387,,0,null,464,2,0,674,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/kinrooi/3640/20154000,20154000,Kinrooi,3640,769000,HOUSE,VILLA,278,,0,,null,4,1,2157,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/beringen/3581/20082942,20082942,Beringen,3581,1075000,HOUSE,VILLA,424,,0,null,null,4,0,1248,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/20220997,20220997,Diepenbeek,3590,299000,APARTMENT,APARTMENT,,,0,9,null,0,0,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beverlo/3581/11335370,11335370,Beverlo,3581,485000,HOUSE,HOUSE,168,0,0,,953,4,1,1185,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/la-bruyere/5080/11237681,11237681,La Bruyère,5080,695000,HOUSE,HOUSE,285,,0,,null,3,1,2913,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/namur/5080/11484800,11484800,Namur,5080,399000,HOUSE,VILLA,162,0,0,59,696,4,0,1072,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20221018,20221018,Diepenbeek,3590,445000,HOUSE,HOUSE,145,,0,,null,0,0,1207,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/ground-floor/for-sale/kinrooi/3640/20223978,20223978,KINROOI,3640,263000,APARTMENT,GROUND_FLOOR,106,,0,24,42,0,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/borlo/3891/20157091,20157091,BORLO,3891,300000,HOUSE,HOUSE,157,,0,null,null,3,0,275,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/saint-hubert/6870/20013396,20013396,Saint-Hubert,6870,230000,HOUSE,HOUSE,129,0,0,null,570,4,1,570,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20125308,20125308,Diepenbeek,3590,309000,HOUSE,HOUSE,267,0,0,null,null,4,1,759,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gingelom/3891/20109704,20109704,GINGELOM,3891,335000,HOUSE,HOUSE,354,,0,null,null,4,0,1200,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/saint-hubert/6870/20163909,20163909,Saint-Hubert,6870,279000,HOUSE,HOUSE,381,0,0,,null,4,1,331,,,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/saint-hubert/6870/20214651,20214651,SAINT-HUBERT,6870,570000,HOUSE,VILLA,263,,1,20,null,4,0,2800,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/borlo/3891/20145267,20145267,Borlo,3891,228750,HOUSE,MIXED_USE_BUILDING,284,,0,null,null,2,0,448,,,FOR_SALE
https://www.immoweb.be/en/classified/apartment-block/for-sale/hastiere-heer/5543/10673188,10673188,"Hastière, Heer",5543,175000,HOUSE,APARTMENT_BLOCK,270,0,0,20,null,3,1,0,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/otegem/8553/9911040,9911040,Otegem,8553,327000,HOUSE,HOUSE,,,0,null,null,2,0,399,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/tessenderlo/3980/20082059,20082059,Tessenderlo,3980,349082,HOUSE,HOUSE,,,0,null,null,0,0,270,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/borlo/3891/20089592,20089592,Borlo,3891,110000,HOUSE,HOUSE,186,,0,null,null,2,0,1031,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/rhisnes/5080/10958052,10958052,RHISNES,5080,150000,HOUSE,HOUSE,180,,0,null,null,3,0,1200,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/rhisnes/5080/20101593,20101593,RHISNES,5080,365000,HOUSE,HOUSE,165,,1,,716,4,0,716,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/11284213,11284213,Diepenbeek,3590,430000,HOUSE,HOUSE,170,0,0,null,null,3,1,533,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/penthouse/for-sale/kinrooi/3640/20223984,20223984,KINROOI,3640,325000,APARTMENT,PENTHOUSE,148,,0,16,null,0,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beringen/3581/20234016,20234016,Beringen,3581,525000,HOUSE,HOUSE,203,,0,null,null,4,0,11852,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/otegem/8553/10884173,10884173,OTEGEM,8553,372000,HOUSE,HOUSE,125,,0,,null,3,0,649,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/otegem/8553/20178195,20178195,Otegem,8553,285000,HOUSE,HOUSE,225,,0,null,156,2,0,316,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/buvingen/3891/10129606,10129606,BUVINGEN,3891,255000,HOUSE,HOUSE,292,,0,null,null,2,0,652,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/otegem/8553/10884175,10884175,OTEGEM,8553,327000,HOUSE,HOUSE,125,,0,,null,3,0,456,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/saint-hubert/6870/20165538,20165538,Saint-Hubert,6870,339000,HOUSE,HOUSE,198,0,0,45,null,3,1,1140,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/saint-hubert/6870/20121529,20121529,Saint-Hubert,6870,190000,HOUSE,HOUSE,137,0,0,,268,2,1,268,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/kinrooi/3640/20234744,20234744,Kinrooi,3640,445000,HOUSE,HOUSE,224,,0,,null,4,0,3900,INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/farmhouse/for-sale/gingelom/3891/20109703,20109703,GINGELOM,3891,335000,HOUSE,FARMHOUSE,354,,0,null,null,4,0,1200,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeersel/3640/20089033,20089033,Molenbeersel,3640,111000,APARTMENT,APARTMENT,,,0,,null,0,0,,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/otegem/8553/10418665,10418665,Otegem,8553,564000,HOUSE,HOUSE,,,0,null,null,4,0,991,,,FOR_SALE
https://www.immoweb.be/en/classified/ground-floor/for-sale/kinrooi/3640/20223977,20223977,KINROOI,3640,284000,APARTMENT,GROUND_FLOOR,116,,0,14,15,0,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/otegem/8553/11365444,11365444,Otegem,8553,449000,HOUSE,HOUSE,368,,0,null,null,4,0,1843,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/otegem/8553/11122343,11122343,Otegem,8553,325000,HOUSE,HOUSE,139,0,0,,null,4,0,1598,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/otegem/8553/20119543,20119543,Otegem,8553,128500,HOUSE,HOUSE,120,,0,null,null,2,0,151,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/saint-hubert-arville/6870/20163451,20163451,"Saint-Hubert, Arville",6870,299000,HOUSE,HOUSE,270,0,0,,null,4,1,1135,INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/paal/3583/20178659,20178659,PAAL,3583,297000,APARTMENT,APARTMENT,109,,0,8,null,3,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/emines/5080/20183321,20183321,Émines,5080,309000,HOUSE,HOUSE,131,0,0,25,157,3,1,275,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/20021204,20021204,Diepenbeek,3590,289500,APARTMENT,APARTMENT,110,,0,5,null,2,1,,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/paal/3583/20126445,20126445,Paal,3583,105000,HOUSE,HOUSE,,,0,null,null,3,0,510,,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/otegem-zwevegem/8553/11484937,11484937,Otegem (Zwevegem),8553,449000,HOUSE,HOUSE,209,0,0,,null,4,1,1149,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/mielen-boven-aalst/3891/11489697,11489697,Mielen-Boven-Aalst,3891,249500,HOUSE,HOUSE,140,,0,null,null,3,0,714,,,FOR_SALE
https://www.immoweb.be/en/classified/exceptional-property/for-sale/saint-hubert/6870/20044175,20044175,SAINT-HUBERT,6870,219000,HOUSE,EXCEPTIONAL_PROPERTY,,,0,20,628,4,0,628,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/saint-hubert/6870/20009082,20009082,Saint-Hubert,6870,299000,HOUSE,HOUSE,129,0,0,,null,4,0,6682,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/saint-hubert/6870/11462993,11462993,Saint-Hubert,6870,225000,HOUSE,HOUSE,365,0,0,null,null,4,1,1894,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/saint-hubert/6870/20213088,20213088,SAINT-HUBERT,6870,99000,HOUSE,HOUSE,64,0,0,null,null,2,1,35,,,FOR_SALE
https://www.immoweb.be/en/classified/exceptional-property/for-sale/hatrival/6870/11429833,11429833,HATRIVAL,6870,650000,HOUSE,EXCEPTIONAL_PROPERTY,73,,0,null,null,4,0,11239,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/country-cottage/for-sale/beringen/3583/11420163,11420163,Beringen,3583,695000,HOUSE,COUNTRY_COTTAGE,357,,1,null,null,4,0,1690,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/paal/3583/20212667,20212667,PAAL,3583,412638,HOUSE,HOUSE,198,,0,null,null,3,0,328,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/chalet/for-sale/tessenderlo/3980/20173982,20173982,Tessenderlo,3980,240000,HOUSE,CHALET,70,0,0,null,null,4,1,3308,,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/kinrooi/3640/20223985,20223985,KINROOI,3640,267000,APARTMENT,APARTMENT,109,,0,10,null,0,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/molenbeersel/3640/20089030,20089030,Molenbeersel,3640,275000,HOUSE,HOUSE,,,0,null,null,4,0,791,,,FOR_SALE
https://www.immoweb.be/en/classified/chalet/for-sale/kinrooi/3640/20041210,20041210,Kinrooi,3640,66950,HOUSE,CHALET,,,0,18,null,4,1,180,,,FOR_SALE
