link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/diepenbeek/3590/20300390,20300390,Diepenbeek,3590,559000,HOUSE,MIXED_USE_BUILDING,452,0,0,null,null,2,1,213,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/tessenderlo/3980/20051610,20051610,Tessenderlo,3980,344125,HOUSE,HOUSE,,,0,null,null,,0,245,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/tessenderlo/3980/11017244,11017244,Tessenderlo,3980,430000,HOUSE,HOUSE,,,0,null,null,,1,0,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ghislenghien/7822/20291523,20291523,GHISLENGHIEN,7822,450000,HOUSE,HOUSE,320,,1,,2000,3,0,1300,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/tessenderlo/3980/20298296,20298296,Tessenderlo,3980,535470,APARTMENT,APARTMENT,130,,0,40,1,2,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/ath/7822/11449479,11449479,Ath,7822,335000,HOUSE,VILLA,180,,0,,null,4,0,1308,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/tessenderlo/3980/20381040,20381040,TESSENDERLO,3980,310000,HOUSE,HOUSE,187,,0,null,null,3,0,834,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/bungalow/for-sale/tessenderlo/3980/11281864,11281864,Tessenderlo,3980,399000,HOUSE,BUNGALOW,246,0,0,,586,4,0,860,,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/mortsel/2640/20353435,20353435,MORTSEL,2640,279000,APARTMENT,APARTMENT,110,,0,20,null,0,0,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/ground-floor/for-sale/mortsel/2640/20353434,20353434,MORTSEL,2640,279000,APARTMENT,GROUND_FLOOR,110,,0,20,null,0,0,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/diepenbeek/3590/20332589,20332589,Diepenbeek,3590,1150000,HOUSE,VILLA,628,,0,,null,4,0,34025,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20354866,20354866,Diepenbeek,3590,289000,HOUSE,HOUSE,267,0,0,null,null,4,1,759,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/tessenderlo/3980/11024183,11024183,Tessenderlo,3980,364375,HOUSE,HOUSE,,,0,null,null,,1,245,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ittre-virginal/1460/20265755,20265755,Ittre (Virginal),1460,440000,HOUSE,HOUSE,160,0,0,,null,2,1,274,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ath/7822/20342082,20342082,Ath,7822,180000,HOUSE,HOUSE,223,,0,null,null,3,1,0,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/ittre/1460/20052934,20052934,Ittre,1460,1325000,HOUSE,VILLA,425,,0,105,1500,4,1,34444,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/mortsel/2640/20360072,20360072,MORTSEL,2640,179000,APARTMENT,APARTMENT,86,,0,9,null,2,0,,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/ground-floor/for-sale/mortsel/2640/20358649,20358649,Mortsel,2640,275000,APARTMENT,GROUND_FLOOR,89,,0,16,100,2,0,,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/tessenderlo/3980/20298280,20298280,Tessenderlo,3980,379064,APARTMENT,APARTMENT,104,,0,13,1,3,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gijzegem/9308/20265642,20265642,GIJZEGEM,9308,165000,HOUSE,HOUSE,120,,0,,null,2,0,0,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/20220997,20220997,Diepenbeek,3590,299000,APARTMENT,APARTMENT,,,0,9,null,0,0,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/11091422,11091422,Diepenbeek,3590,329000,APARTMENT,APARTMENT,142,0,0,,null,3,1,,HYPER_EQUIPPED,,FOR_SALE
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/ath-meslinleveque/7822/11319674,11319674,Ath Meslinl'Evêque,7822,450000,HOUSE,MIXED_USE_BUILDING,280,0,0,80,500,4,1,1507,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/mortsel/2640/20359487,20359487,MORTSEL,2640,247000,APARTMENT,APARTMENT,93,,0,,null,2,0,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gent/9031/20333873,20333873,Gent,9031,399000,HOUSE,HOUSE,179,0,0,,null,4,0,1128,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ittre-virginal/1460/20378977,20378977,Ittre (Virginal),1460,450000,HOUSE,HOUSE,174,0,0,,null,3,1,574,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/aalst/9308/20364512,20364512,Aalst,9308,295000,APARTMENT,APARTMENT,80,0,0,,null,2,1,,,,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/rhode-saint-genese/1640/20296142,20296142,Rhode-Saint-Genèse,1640,745000,HOUSE,VILLA,176,,0,null,null,4,0,700,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/rhode-saint-genese/1640/20396014,20396014,Rhode-Saint-Genèse,1640,1150000,HOUSE,VILLA,300,,1,24,1197,4,1,1200,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/rhode-saint-genese/1640/20329256,20329256,Rhode-Saint-Genèse,1640,1395000,HOUSE,VILLA,250,0,0,54,1100,4,1,1200,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/mansion/for-sale/antwerpen/2060/20373252,20373252,Antwerpen,2060,850000,HOUSE,MANSION,235,,0,20,null,4,0,258,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/rhode-saint-genese/1640/20233861,20233861,RHODE-SAINT-GENESE,1640,1625000,HOUSE,VILLA,427,,1,190,2250,4,0,4140,HYPER_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/rhode-saint-genese/1640/20279981,20279981,Rhode-Saint-Genèse,1640,850000,HOUSE,VILLA,220,0,0,,1225,4,0,1620,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/mortsel/2640/20360083,20360083,MORTSEL,2640,235000,APARTMENT,APARTMENT,89,,0,,null,2,0,,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/drongen/9031/20023203,20023203,Drongen,9031,2925000,HOUSE,HOUSE,550,,0,,null,4,0,4291,,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment-block/for-sale/antwerpen/2060/20358605,20358605,ANTWERPEN,2060,750000,HOUSE,APARTMENT_BLOCK,441,,0,null,122,2,0,284,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/ground-floor/for-sale/mortsel/2640/20262780,20262780,MORTSEL,2640,225000,APARTMENT,GROUND_FLOOR,55,,0,30,106,2,0,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/antwerpen/2060/20368743,20368743,ANTWERPEN,2060,575000,HOUSE,MIXED_USE_BUILDING,153,,0,7,20,2,0,0,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/aalst-gijzegem/9308/20338566,20338566,Aalst Gijzegem,9308,280000,APARTMENT,APARTMENT,80,,0,15,null,2,0,,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ittre-virginal/1460/20265694,20265694,Ittre (Virginal),1460,440000,HOUSE,HOUSE,162,0,0,,null,2,1,257,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/mortsel/2640/20360080,20360080,MORTSEL,2640,159000,APARTMENT,APARTMENT,80,,0,null,null,2,0,,INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/rhode-saint-genese/1640/20167109,20167109,Rhode-Saint-Genèse,1640,890000,HOUSE,VILLA,350,0,0,,1500,4,1,1500,NOT_INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/rijkevorsel/2310/20330053,20330053,Rijkevorsel,2310,589000,HOUSE,HOUSE,308,,0,null,null,,1,0,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/aalst-hofstade/9308/11465612,11465612,Aalst Hofstade,9308,370000,HOUSE,HOUSE,277,,0,,null,3,0,1400,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment-block/for-sale/mortsel/2640/20360082,20360082,MORTSEL,2640,549000,HOUSE,APARTMENT_BLOCK,255,,0,,null,2,0,332,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ittre-virginal/1460/20379190,20379190,Ittre (Virginal),1460,470000,HOUSE,HOUSE,150,0,0,,null,3,1,739,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/mortsel/2640/20360084,20360084,MORTSEL,2640,259000,APARTMENT,APARTMENT,115,,0,,null,2,0,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/20358590,20358590,ANTWERPEN,2060,579000,APARTMENT,APARTMENT,129,,0,,null,2,0,,USA_INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/meslin-leveque/7822/20094656,20094656,Meslin l'eveque,7822,380000,HOUSE,HOUSE,180,,1,,null,0,1,2530,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/aalst-hofstade/9308/20050138,20050138,Aalst Hofstade,9308,245000,HOUSE,HOUSE,,,0,21,253,2,0,424,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/20358615,20358615,ANTWERPEN,2060,180000,APARTMENT,APARTMENT,75,,0,10,null,2,0,,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ittrevirginal/1460/20378982,20378982,Ittre(Virginal),1460,450000,HOUSE,HOUSE,182,0,0,,null,3,1,503,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ath/7822/9590039,9590039,Ath,7822,189000,HOUSE,HOUSE,161,1,0,null,null,2,1,77,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/aalst-hofstade/9308/20302017,20302017,Aalst Hofstade,9308,397000,HOUSE,HOUSE,,,0,15,920,4,0,1558,INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/drongen/9031/20385183,20385183,Drongen,9031,466820,HOUSE,HOUSE,220,,0,null,null,4,0,396,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/manor-house/for-sale/gijzegem/9308/20361344,20361344,GIJZEGEM,9308,1175000,HOUSE,MANOR_HOUSE,522,,1,150,1650,4,0,1881,HYPER_EQUIPPED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ittre-virginal/1460/20121276,20121276,Ittre (Virginal),1460,470000,HOUSE,HOUSE,186,0,0,null,null,3,1,476,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/20358576,20358576,ANTWERPEN,2060,229000,APARTMENT,APARTMENT,89,,0,25,null,2,0,,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ittre-virginal/1460/20378927,20378927,Ittre (Virginal),1460,460000,HOUSE,HOUSE,174,0,0,,null,3,1,457,,GOOD,FOR_SALE
